"from","to","combined_score"
"OFD1","TTC8",415
"RPGRIP1L","TTC8",313
"RPGRIP1L","TTC8",313
"MKS1","TTC8",683
"MKS1","TTC8",683
"BBS10","TTC8",975
"BBS10","TTC8",975
"SPATA7","TTC8",778
"SPATA7","TTC8",778
"ARL13B","TTC8",315
"ARL13B","TTC8",315
"CC2D2A","TTC8",385
"CC2D2A","TTC8",385
"BBS12","TTC8",977
"BBS12","TTC8",977
"RAB3IP","TTC8",901
"RAB3IP","TTC8",901
"CEP290","TTC8",705
"CEP290","TTC8",705
"BBS9","ALMS1",519
"BBS9","ALMS1",519
"MKKS","ALMS1",481
"MKKS","ALMS1",481
"BBS4","ALMS1",615
"BBS4","ALMS1",615
"WDPCP","ALMS1",392
"WDPCP","ALMS1",392
"BBS5","ALMS1",571
"BBS5","ALMS1",571
"BBS1","ALMS1",810
"BBS1","ALMS1",810
"NPHP3","ALMS1",371
"NPHP3","ALMS1",371
"OFD1","ALMS1",470
"OFD1","ALMS1",470
"RPGRIP1L","ALMS1",505
"RPGRIP1L","ALMS1",505
"MKS1","ALMS1",434
"MKS1","ALMS1",434
"BBS10","ALMS1",673
"BBS10","ALMS1",673
"SPATA7","ALMS1",341
"SPATA7","ALMS1",341
"CC2D2A","ALMS1",399
"CC2D2A","ALMS1",399
"BBS12","ALMS1",601
"BBS12","ALMS1",601
"CEP290","ALMS1",564
"CEP290","ALMS1",564
"TTC8","ALMS1",464
"TTC8","ALMS1",464
"CD4","BTK",594
"CD4","BTK",594
"AFG3L2","BTK",315
"AFG3L2","BTK",315
"MERTK","BTK",428
"MERTK","BTK",428
"ALB","BTK",344
"ALB","BTK",344
"NLRP3","BTK",918
"NLRP3","BTK",918
"NPHP3","BTK",354
"NPHP3","BTK",354
"FGFR3","BTK",331
"FGFR3","BTK",331
"TLR4","BTK",866
"TLR4","BTK",866
"IFNB1","BTK",313
"IFNB1","BTK",313
